text,label
"I love this product, it's really helpful!",1
Terrible service. I'm never coming back.,0
"Everything was okay, not great.",0
This is the best experience I've had!,1
I hate how slow this app is.,0
Amazing quality and fast delivery!,1
I'm so disappointed in this purchase.,0
Very satisfied with the customer support.,1
This was a complete waste of money.,0
Excellent! Exceeded my expectations!,1
The item arrived broken. Very upset.,0
Great value for the price!,1
Customer support was rude and unhelpful.,0
I'm impressed. It works perfectly!,1
Late delivery and poor packaging.,0
Couldn't be happier with this!,1
Not worth the hype at all.,0
This app makes my life easier every day.,1
Refund process is a nightmare.,0
Super fast and easy to use!,1
Product doesn't match the description.,0
I recommend this to all my friends!,1
wouldn't be using this again.,0
Top-notch service and friendly staff.,1
Disappointed with the quality.,0
This exceeded all my expectations.,1
Its not working as advertised.,0
Love the design and the features!,1
Very buggy and keeps crashing.,0
Perfect experience from start to finish!,1
